URL,Year,Team,Web_Finish,List_Finish
https://collegechampionships.usaultimate.org/d1-women/history/2001-d-i-women/,2001,MIT,14,14
https://collegechampionships.usaultimate.org/d1-women/history/2001-d-i-women/,2001,Wisconsin,15,15
https://collegechampionships.usaultimate.org/d1-women/history/2001-d-i-women/,2001,Washington,16,16
https://collegechampionships.usaultimate.org/d1-women/history/2002-d-i-women/,2002,California-San Diego,1,1
https://collegechampionships.usaultimate.org/d1-women/history/2002-d-i-women/,2002,Stanford,2,2
https://collegechampionships.usaultimate.org/d1-women/history/2002-d-i-women/,2002,Colorado,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/2002-d-i-women/,2002,MIT,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/2002-d-i-women/,2002,Bucknell,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/2002-d-i-women/,2002,Carleton College,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/2002-d-i-women/,2002,North Carolina,5T,7
https://collegechampionships.usaultimate.org/d1-women/history/2002-d-i-women/,2002,Oregon,5T,8
https://collegechampionships.usaultimate.org/d1-women/history/2002-d-i-women/,2002,Brown,9T,9
https://collegechampionships.usaultimate.org/d1-women/history/2002-d-i-women/,2002,Northwestern,9T,10
https://collegechampionships.usaultimate.org/d1-women/history/2002-d-i-women/,2002,Penn State,11T,11
https://collegechampionships.usaultimate.org/d1-women/history/2002-d-i-women/,2002,Virginia,11T,12
https://collegechampionships.usaultimate.org/d1-women/history/2002-d-i-women/,2002,Georgia,13T,13
https://collegechampionships.usaultimate.org/d1-women/history/2002-d-i-women/,2002,Indiana,13T,14
https://collegechampionships.usaultimate.org/d1-women/history/2002-d-i-women/,2002,Texas,15T,15
https://collegechampionships.usaultimate.org/d1-women/history/2002-d-i-women/,2002,Yale,15T,16
https://collegechampionships.usaultimate.org/d1-women/history/2003-d-i-women/,2003,Stanford,1,1
https://collegechampionships.usaultimate.org/d1-women/history/2003-d-i-women/,2003,MIT,2,2
https://collegechampionships.usaultimate.org/d1-women/history/2003-d-i-women/,2003,Brown,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/2003-d-i-women/,2003,Colorado,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/2003-d-i-women/,2003,California,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/2003-d-i-women/,2003,California-San Diego,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/2003-d-i-women/,2003,Penn State,5T,7
https://collegechampionships.usaultimate.org/d1-women/history/2003-d-i-women/,2003,Texas,5T,8
https://collegechampionships.usaultimate.org/d1-women/history/2003-d-i-women/,2003,Iowa,9T,9
https://collegechampionships.usaultimate.org/d1-women/history/2003-d-i-women/,2003,Wisconsin,9T,10
https://collegechampionships.usaultimate.org/d1-women/history/2003-d-i-women/,2003,Delaware,11T,11
https://collegechampionships.usaultimate.org/d1-women/history/2003-d-i-women/,2003,Duke,11T,12
https://collegechampionships.usaultimate.org/d1-women/history/2003-d-i-women/,2003,Michigan,13,13
https://collegechampionships.usaultimate.org/d1-women/history/2003-d-i-women/,2003,Arizona,14T,14
https://collegechampionships.usaultimate.org/d1-women/history/2003-d-i-women/,2003,Georgia,14T,15
https://collegechampionships.usaultimate.org/d1-women/history/2003-d-i-women/,2003,Notre Dame,14T,16
https://collegechampionships.usaultimate.org/d1-women/history/2004-d-i-women/,2004,California-Davis,1,1
https://collegechampionships.usaultimate.org/d1-women/history/2004-d-i-women/,2004,Carleton College,2,2
https://collegechampionships.usaultimate.org/d1-women/history/2004-d-i-women/,2004,California-San Diego,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/2004-d-i-women/,2004,Stanford,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/2004-d-i-women/,2004,Brown,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/2004-d-i-women/,2004,California,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/2004-d-i-women/,2004,Texas,5T,7
https://collegechampionships.usaultimate.org/d1-women/history/2004-d-i-women/,2004,MIT,5T,8
https://collegechampionships.usaultimate.org/d1-women/history/2004-d-i-women/,2004,Dartmouth,9T,9
https://collegechampionships.usaultimate.org/d1-women/history/2004-d-i-women/,2004,Iowa,9T,10
https://collegechampionships.usaultimate.org/d1-women/history/2004-d-i-women/,2004,Claremont,11T,11
https://collegechampionships.usaultimate.org/d1-women/history/2004-d-i-women/,2004,Illinois,11T,12
https://collegechampionships.usaultimate.org/d1-women/history/2004-d-i-women/,2004,Penn State,13T,13
https://collegechampionships.usaultimate.org/d1-women/history/2004-d-i-women/,2004,North Carolina State,15T,14
https://collegechampionships.usaultimate.org/d1-women/history/2004-d-i-women/,2004,Rutgers,15T,15
https://collegechampionships.usaultimate.org/d1-women/history/2005-d-i-women/,2005,Stanford,1,1
https://collegechampionships.usaultimate.org/d1-women/history/2005-d-i-women/,2005,Washington,2,2
https://collegechampionships.usaultimate.org/d1-women/history/2005-d-i-women/,2005,Colorado,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/2005-d-i-women/,2005,Texas,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/2005-d-i-women/,2005,Brown,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/2005-d-i-women/,2005,California,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/2005-d-i-women/,2005,Iowa,5T,7
https://collegechampionships.usaultimate.org/d1-women/history/2005-d-i-women/,2005,North Carolina State,5T,8
https://collegechampionships.usaultimate.org/d1-women/history/2005-d-i-women/,2005,Cornell,9T,9
https://collegechampionships.usaultimate.org/d1-women/history/2005-d-i-women/,2005,MIT,9T,10
https://collegechampionships.usaultimate.org/d1-women/history/2005-d-i-women/,2005,Dartmouth,11T,11
https://collegechampionships.usaultimate.org/d1-women/history/2005-d-i-women/,2005,Northwestern,11T,12
https://collegechampionships.usaultimate.org/d1-women/history/2005-d-i-women/,2005,Texas A&M,13,13
https://collegechampionships.usaultimate.org/d1-women/history/2005-d-i-women/,2005,Carleton College,14T,14
https://collegechampionships.usaultimate.org/d1-women/history/2005-d-i-women/,2005,Purdue,14T,15
