URL,Year,Team,Web_Finish,List_Finish
https://collegechampionships.usaultimate.org/d1-men/history/1997-d-i-men/,1997,Rice,7T,8
https://collegechampionships.usaultimate.org/d1-men/history/1997-d-i-men/,1997,Oberlin,9T,9
https://collegechampionships.usaultimate.org/d1-men/history/1997-d-i-men/,1997,Wesleyan,9T,10
https://collegechampionships.usaultimate.org/d1-men/history/1997-d-i-men/,1997,LSU,11T,11
https://collegechampionships.usaultimate.org/d1-men/history/1997-d-i-men/,1997,Yale,11T,12
https://collegechampionships.usaultimate.org/d1-men/history/1998-d-i-men/,1998,California-Santa Barbara,1,1
https://collegechampionships.usaultimate.org/d1-men/history/1998-d-i-men/,1998,Stanford,2,2
https://collegechampionships.usaultimate.org/d1-men/history/1998-d-i-men/,1998,Brown,3T,3
https://collegechampionships.usaultimate.org/d1-men/history/1998-d-i-men/,1998,North Carolina,3T,4
https://collegechampionships.usaultimate.org/d1-men/history/1998-d-i-men/,1998,Carleton College,5T,5
https://collegechampionships.usaultimate.org/d1-men/history/1998-d-i-men/,1998,Colorado,5T,6
https://collegechampionships.usaultimate.org/d1-men/history/1998-d-i-men/,1998,Harvard,7T,7
https://collegechampionships.usaultimate.org/d1-men/history/1998-d-i-men/,1998,LSU,7T,8
https://collegechampionships.usaultimate.org/d1-men/history/1998-d-i-men/,1998,East Carolina,9T,9
https://collegechampionships.usaultimate.org/d1-men/history/1998-d-i-men/,1998,Iowa,9T,10
https://collegechampionships.usaultimate.org/d1-men/history/1998-d-i-men/,1998,Rice,11T,11
https://collegechampionships.usaultimate.org/d1-men/history/1998-d-i-men/,1998,Yale,11T,12
https://collegechampionships.usaultimate.org/d1-men/history/1999-d-i-men/,1999,North Carolina State,1,1
https://collegechampionships.usaultimate.org/d1-men/history/1999-d-i-men/,1999,California-Santa Barbara,2,2
https://collegechampionships.usaultimate.org/d1-men/history/1999-d-i-men/,1999,Brown,3T,3
https://collegechampionships.usaultimate.org/d1-men/history/1999-d-i-men/,1999,Carleton College,3T,4
https://collegechampionships.usaultimate.org/d1-men/history/1999-d-i-men/,1999,California- Santa Cruz,5T,5
https://collegechampionships.usaultimate.org/d1-men/history/1999-d-i-men/,1999,Colorado,5T,6
https://collegechampionships.usaultimate.org/d1-men/history/1999-d-i-men/,1999,North Carolina,5T,7
https://collegechampionships.usaultimate.org/d1-men/history/1999-d-i-men/,1999,Stanford,5T,8
https://collegechampionships.usaultimate.org/d1-men/history/1999-d-i-men/,1999,Cornell,9T,9
https://collegechampionships.usaultimate.org/d1-men/history/1999-d-i-men/,1999,Iowa,9T,10
https://collegechampionships.usaultimate.org/d1-men/history/1999-d-i-men/,1999,Michigan,9T,11
https://collegechampionships.usaultimate.org/d1-men/history/1999-d-i-men/,1999,Yale,9T,12
https://collegechampionships.usaultimate.org/d1-men/history/1999-d-i-men/,1999,Kansas,13T,13
https://collegechampionships.usaultimate.org/d1-men/history/1999-d-i-men/,1999,Oberlin,13T,14
https://collegechampionships.usaultimate.org/d1-men/history/1999-d-i-men/,1999,Rice,13T,15
https://collegechampionships.usaultimate.org/d1-men/history/1999-d-i-men/,1999,Salisbury,13T,16
https://collegechampionships.usaultimate.org/d1-men/history/2000-d-i-men/,2000,Brown,1,1
https://collegechampionships.usaultimate.org/d1-men/history/2000-d-i-men/,2000,Carleton College,2,2
https://collegechampionships.usaultimate.org/d1-men/history/2000-d-i-men/,2000,California- Santa Barbara,3T,3
https://collegechampionships.usaultimate.org/d1-men/history/2000-d-i-men/,2000,Colorado,3T,4
https://collegechampionships.usaultimate.org/d1-men/history/2000-d-i-men/,2000,North Carolina,5T,5
https://collegechampionships.usaultimate.org/d1-men/history/2000-d-i-men/,2000,North Carolina State,5T,6
https://collegechampionships.usaultimate.org/d1-men/history/2000-d-i-men/,2000,Salisbury,5T,7
https://collegechampionships.usaultimate.org/d1-men/history/2000-d-i-men/,2000,Stanford,5T,8
https://collegechampionships.usaultimate.org/d1-men/history/2000-d-i-men/,2000,Michigan,9,9
https://collegechampionships.usaultimate.org/d1-men/history/2000-d-i-men/,2000,Wisconsin,10,10
https://collegechampionships.usaultimate.org/d1-men/history/2000-d-i-men/,2000,Rice,11T,11
https://collegechampionships.usaultimate.org/d1-men/history/2000-d-i-men/,2000,Winona State,11T,12
https://collegechampionships.usaultimate.org/d1-men/history/2000-d-i-men/,2000,Notre Dame,13,13
https://collegechampionships.usaultimate.org/d1-men/history/2000-d-i-men/,2000,Princeton,14,14
https://collegechampionships.usaultimate.org/d1-men/history/2000-d-i-men/,2000,California -Santa Cruz,15T,15
https://collegechampionships.usaultimate.org/d1-men/history/2000-d-i-men/,2000,Tufts,15T,16
https://collegechampionships.usaultimate.org/d1-men/history/2001-d-i-men/,2001,Carleton College,1,1
https://collegechampionships.usaultimate.org/d1-men/history/2001-d-i-men/,2001,Colorado,2,2
https://collegechampionships.usaultimate.org/d1-men/history/2001-d-i-men/,2001,California-Santa Barbara,3,3
https://collegechampionships.usaultimate.org/d1-men/history/2001-d-i-men/,2001,Oregon,4,4
https://collegechampionships.usaultimate.org/d1-men/history/2001-d-i-men/,2001,Brown,5T,5
https://collegechampionships.usaultimate.org/d1-men/history/2001-d-i-men/,2001,Cornell,5T,6
https://collegechampionships.usaultimate.org/d1-men/history/2001-d-i-men/,2001,Michigan,5T,7
https://collegechampionships.usaultimate.org/d1-men/history/2001-d-i-men/,2001,Wisconsin,5T,8
https://collegechampionships.usaultimate.org/d1-men/history/2001-d-i-men/,2001,Harvard,9,9
