Team,Year,Rank,T_Rank
Minnesota,2018,10,T9
Northwestern,2018,11,T9
Texas,2018,12,T9
Auburn,2018,13,T13
Connecticut,2018,14,T13
Florida State,2018,15,T13
William & Mary,2018,16,T13
Georgetown,2018,17,T17
Maryland,2018,18,T17
Stanford,2018,19,T17
Victoria,2018,20,T17
Brown,2019,1,1
North Carolina,2019,2,2
Cal Poly SLO,2019,3,T3
Colorado,2019,4,T3
Pittsburgh,2019,5,T5
Ohio State,2019,6,T5
Wisconsin,2019,7,T5
Michigan,2019,8,T5
Oregon,2019,9,T9
Washington,2019,10,T9
Texas,2019,11,T9
Georgia,2019,12,T9
Minnesota,2019,13,T13
Tufts,2019,14,T13
Northeastern,2019,15,T13
Iowa State,2019,16,T13
NC State,2019,17,T17
California,2019,18,T17
Victoria,2019,19,T17
Rutgers,2019,20,T17
North Carolina,2021,1,1
Georgia,2021,2,2
Brown,2021,3,T3
Michigan,2021,4,T3
Washington,2021,5,T5
Colorado,2021,6,T5
Cal Poly SLO,2021,7,T5
Texas,2021,8,T5
Ohio State,2021,9,T9
UNC Wilmington,2021,10,T9
NC State,2021,11,T11
Tulane,2021,12,T11
Northeastern,2021,13,13
Pittsburgh,2021,14,14
Wisconsin,2021,15,T15
Utah State,2021,16,T15
Illinois,2021,17,17
Cornell,2021,18,18
UC San Diego,2021,19,DNF
Carleton,2021,20,DNF
North Carolina,2022,1,1
Brown,2022,2,2
Colorado,2022,3,T3
Pittsburgh,2022,4,T3
Minnesota,2022,5,T5
California,2022,6,T5
Georgia,2022,7,T5
Cal Poly SLO,2022,8,T5
Vermont,2022,9,T9
Washington,2022,10,T9
Texas,2022,11,T9
Auburn,2022,12,T9
Utah State,2022,13,T13
Wisconsin,2022,14,T13
Michigan,2022,15,T15
NC State,2022,16,T15
William & Mary,2022,17,T17
WashU,2022,18,T17
Connecticut,2022,19,T19
Ohio State,2022,20,T19
North Carolina,2023,1,1
Massachusetts,2023,2,2
Cal Poly SLO,2023,3,T3
Vermont,2023,4,T3
Brown,2023,5,T5
Oregon,2023,6,T5
Pittsburgh,2023,7,T5
Texas,2023,8,T5
California,2023,9,T9
Carleton,2023,10,T9
Colorado,2023,11,T9
Georgia,2023,12,T9
UC Santa Cruz,2023,13,T13
Minnesota,2023,14,T13
Michigan,2023,15,T15
Washington,2023,16,T15
Tufts,2023,17,T17
Utah State,2023,18,T17
Cornell,2023,19,T19
NC State,2023,20,T19
