Team,Time,Rank,Year
Eastern Michigan,31,18,2014
Rutgers,31,19,2014
Texas A&M,31,20,2014
North Carolina,32,1,2015
Oregon,32,2,2015
Central Florida,32,3,2015
Florida State,32,4,2015
Colorado,32,5,2015
Massachusetts,32,6,2015
Pittsburgh,32,7,2015
Texas,32,8,2015
Georgia,32,9,2015
Minnesota,32,10,2015
UNC Wilmington,32,11,2015
Texas A&M,32,12,2015
Auburn,32,13,2015
Illinois,32,14,2015
Western Washington,32,15,2015
Wisconsin,32,16,2015
UC Santa Barbara,32,17,2015
Cincinnati,32,18,2015
Cornell,32,19,2015
Maryland,32,20,2015
Minnesota,33,1,2016
Harvard,33,2,2016
North Carolina,33,3,2016
Pittsburgh,33,4,2016
Auburn,33,5,2016
Colorado,33,6,2016
Georgia,33,7,2016
Wisconsin,33,8,2016
Massachusetts,33,9,2016
Michigan,33,10,2016
Oregon,33,11,2016
Texas A&M,33,12,2016
Carleton,33,13,2016
Connecticut,33,14,2016
UNC Wilmington,33,15,2016
Utah,33,16,2016
Cal Poly SLO,33,17,2016
Case Western Reserve,33,18,2016
Florida State,33,19,2016
Washington,33,20,2016
Carleton,34,1,2017
UNC Wilmington,34,2,2017
Massachusetts,34,3,2017
North Carolina,34,4,2017
Minnesota,34,5,2017
Pittsburgh,34,6,2017
Washington,34,7,2017
Wisconsin,34,8,2017
Auburn,34,9,2017
Cal Poly SLO,34,10,2017
Michigan,34,11,2017
Oregon,34,12,2017
British Columbia,34,13,2017
Connecticut,34,14,2017
Stanford,34,15,2017
Texas A&M,34,16,2017
Colorado,34,17,2017
Colorado State,34,18,2017
Oregon State,34,19,2017
Virginia Tech,34,20,2017
North Carolina,35,1,2018
Pittsburgh,35,2,2018
Carleton,35,3,2018
Oregon,35,4,2018
Brown,35,5,2018
Georgia,35,6,2018
Washington,35,7,2018
Wisconsin,35,8,2018
Massachusetts,35,9,2018
Minnesota,35,10,2018
Northwestern,35,11,2018
Texas,35,12,2018
Auburn,35,13,2018
Connecticut,35,14,2018
Florida State,35,15,2018
William & Mary,35,16,2018
Georgetown,35,17,2018
Maryland,35,18,2018
Stanford,35,19,2018
Victoria,35,20,2018
Brown,36,1,2019
North Carolina,36,2,2019
Cal Poly SLO,36,3,2019
Colorado,36,4,2019
Pittsburgh,36,5,2019
Ohio State,36,6,2019
Wisconsin,36,7,2019
Michigan,36,8,2019
Oregon,36,9,2019
Washington,36,10,2019
Texas,36,11,2019
Georgia,36,12,2019
Minnesota,36,13,2019
Tufts,36,14,2019
Northeastern,36,15,2019
Iowa State,36,16,2019
NC State,36,17,2019
California,36,18,2019
Victoria,36,19,2019
Rutgers,36,20,2019
North Carolina,37,1,2021
Georgia,37,2,2021
Brown,37,3,2021
Michigan,37,4,2021
Washington,37,5,2021
Colorado,37,6,2021
Cal Poly SLO,37,7,2021
Texas,37,8,2021
Ohio State,37,9,2021
Wilmington,37,10,2021
NC State,37,11,2021
Tulane,37,12,2021
Northeastern,37,13,2021
Pittsburgh,37,14,2021
Wisconsin,37,15,2021
Utah State,37,16,2021
Illinois,37,17,2021
Cornell,37,18,2021
UC San Diego,37,19,2021
Carleton,37,20,2021
North Carolina,38,1,2022
Brown,38,2,2022
Colorado,38,3,2022
Pittsburgh,38,4,2022
Minnesota,38,5,2022
California,38,6,2022
Georgia,38,7,2022
Cal Poly SLO,38,8,2022
Vermont,38,9,2022
Washington,38,10,2022
Texas,38,11,2022
Auburn,38,12,2022
Utah State,38,13,2022
Wisconsin,38,14,2022
Michigan,38,15,2022
NC State,38,16,2022
William & Mary,38,17,2022
WashU,38,18,2022
Connecticut,38,19,2022
Ohio State,38,20,2022
North Carolina,39,1,2023
Massachusetts,39,2,2023
Cal Poly SLO,39,3,2023
Vermont,39,4,2023
Brown,39,5,2023
Oregon,39,6,2023
Pittsburgh,39,7,2023
Texas,39,8,2023
California,39,9,2023
Carleton,39,10,2023
Colorado,39,11,2023
Georgia,39,12,2023
UC Santa Cruz,39,13,2023
Minnesota,39,14,2023
Michigan,39,15,2023
Washington,39,16,2023
Tufts,39,17,2023
Utah State,39,18,2023
Cornell,39,19,2023
NC State,39,20,2023
